País de residencia;Tipo de dato;Periodo;Total
Portugal;Dato base;2020M02;181.813
Portugal;Dato base;2020M01;129.995
Portugal;Dato base;2019M12;136.294
Portugal;Dato base;2019M11;123.350
Portugal;Dato base;2019M10;174.778
Portugal;Dato base;2019M09;256.227
Portugal;Dato base;2019M08;389.692
Portugal;Dato base;2019M07;256.503
Portugal;Dato base;2019M06;229.556
Portugal;Dato base;2019M05;159.476
Portugal;Dato base;2019M04;231.213
Portugal;Dato base;2019M03;184.721
Portugal;Dato base;2019M02;145.289
Portugal;Dato base;2019M01;141.690
Portugal;Dato base;2018M12;149.171
Portugal;Dato base;2018M11;161.192
Portugal;Dato base;2018M10;185.346
Portugal;Dato base;2018M09;239.695
Portugal;Dato base;2018M08;375.260
Portugal;Dato base;2018M07;263.732
Portugal;Dato base;2018M06;197.373
Portugal;Dato base;2018M05;161.734
Portugal;Dato base;2018M04;200.992
Portugal;Dato base;2018M03;150.281
Portugal;Dato base;2018M02;143.291
Portugal;Dato base;2018M01;116.255
Reino Unido;Dato base;2022M12;764.766
Reino Unido;Dato base;2022M11;826.874
Reino Unido;Dato base;2022M10;1.525.460
Reino Unido;Dato base;2022M09;1.794.754
Reino Unido;Dato base;2022M08;1.840.664
Reino Unido;Dato base;2022M07;1.893.450
Reino Unido;Dato base;2022M06;1.809.242
Reino Unido;Dato base;2022M05;1.651.886
Reino Unido;Dato base;2022M04;1.245.117
Reino Unido;Dato base;2022M03;826.572
Reino Unido;Dato base;2022M02;578.598
Reino Unido;Dato base;2022M01;364.528
Reino Unido;Dato base;2021M12;415.656
Reino Unido;Dato base;2021M11;598.624
Reino Unido;Dato base;2021M10;957.025
Reino Unido;Dato base;2021M09;788.194
Reino Unido;Dato base;2021M08;714.013
Reino Unido;Dato base;2021M07;554.277
Reino Unido;Dato base;2021M06;142.482
Reino Unido;Dato base;2021M05;51.128
Reino Unido;Dato base;2021M04;23.860
Reino Unido;Dato base;2021M03;19.748
Reino Unido;Dato base;2021M02;14.367
Reino Unido;Dato base;2021M01;23.260
Reino Unido;Dato base;2020M12;109.320
Reino Unido;Dato base;2020M11;85.351
Reino Unido;Dato base;2020M10;148.009
Reino Unido;Dato base;2020M09;162.489
Reino Unido;Dato base;2020M08;254.236
Reino Unido;Dato base;2020M07;379.039
Reino Unido;Dato base;2020M06;9.436
Reino Unido;Dato base;2020M05;0
Reino Unido;Dato base;2020M04;0
Reino Unido;Dato base;2020M03;399.515
Reino Unido;Dato base;2020M02;888.521
Reino Unido;Dato base;2020M01;714.288
Reino Unido;Dato base;2019M12;786.044
Reino Unido;Dato base;2019M11;872.392
Reino Unido;Dato base;2019M10;1.643.636
Reino Unido;Dato base;2019M09;2.094.377
Reino Unido;Dato base;2019M08;2.172.298
Reino Unido;Dato base;2019M07;2.154.808
Reino Unido;Dato base;2019M06;2.074.006
Reino Unido;Dato base;2019M05;1.950.529
Reino Unido;Dato base;2019M04;1.461.671
Reino Unido;Dato base;2019M03;1.109.683
Reino Unido;Dato base;2019M02;885.676
Reino Unido;Dato base;2019M01;807.362
Reino Unido;Dato base;2018M12;856.447
Reino Unido;Dato base;2018M11;934.572
Reino Unido;Dato base;2018M10;1.732.143
Reino Unido;Dato base;2018M09;2.110.577
